"time,servertime,latitude,longitude,""HDT - Heading True"",""SOG - Speed over Ground"",""COG - Course over Ground"",Heel,""Trim Fore / Aft"",""GPS Satellites"",""GPS HAcc"",""Battery Charge"",""Battery 1 Voltage"",""Battery 1 Current"",""Battery 1 Temperature"""
"2024-06-15 12:17:29.599,""2024-06-15 12:17:30.815"",47.668235,8.984736,295.82,0.01618351,295.82,-0.78,-0.36,15,0.5688,64,3.893,-0.4468,-245.1"
"2024-06-15 12:17:30.599,""2024-06-15 12:17:31.068"",47.668235,8.984736,295.82,0.02319929,295.82,-0.79,-0.34,15,0.5679,64,3.893,-0.4438,-245.1"
"2024-06-15 12:17:31.499,""2024-06-15 12:17:32.077"",47.668235,8.984736,295.82,0.02213452,295.82,-0.78,-0.35,15,0.5659,64,3.893,-0.4509,-245.1"
"2024-06-15 12:17:32.599,""2024-06-15 12:17:33.004"",47.668235,8.984736,295.82,0.01628902,295.82,-0.77,-0.34,15,0.564,64,3.891,-0.4468,-245.1"
"2024-06-15 12:17:33.599,""2024-06-15 12:17:33.812"",47.668236,8.984736,295.82,0.01793228,295.82,-0.78,-0.36,15,0.563,64,3.891,-0.448,-245.1"
"2024-06-15 12:17:34.599,""2024-06-15 12:17:34.912"",47.668236,8.984736,295.82,0.01634825,295.82,-0.79,-0.36,15,0.5615,64,3.891,-0.4409,-245.1"
"2024-06-15 12:17:35.599,""2024-06-15 12:17:35.866"",47.668236,8.984736,295.82,0.02097817,295.82,-0.77,-0.35,15,0.5596,64,3.891,-0.4338,-245.1"
"2024-06-15 12:17:36.599,""2024-06-15 12:17:36.811"",47.668236,8.984736,295.82,0.02912289,295.82,-0.83,-0.34,15,0.5586,64,3.891,-0.438,-245.1"
"2024-06-15 12:17:37.599,""2024-06-15 12:17:37.816"",47.668236,8.984736,295.82,0.02310613,295.82,-0.83,-0.34,15,0.5576,64,3.891,-0.4429,-245.1"
"2024-06-15 12:17:38.599,""2024-06-15 12:17:38.826"",47.668236,8.984736,295.82,0.02219397,295.82,-0.8,-0.35,15,0.5566,64,3.891,-0.439,-245.1"
"2024-06-15 12:17:39.599,""2024-06-15 12:17:39.891"",47.668236,8.984736,295.82,0.01711334,295.82,-0.78,-0.35,15,0.5557,64,3.891,-0.4399,-245.1"
"2024-06-15 12:17:40.599,""2024-06-15 12:17:40.845"",47.668236,8.984736,295.82,0.01831868,295.82,-0.78,-0.35,15,0.5547,64,3.891,-0.4348,-245.1"
"2024-06-15 12:17:41.599,""2024-06-15 12:17:41.871"",47.668236,8.984736,295.82,0.01532011,295.82,-0.8,-0.35,15,0.5537,64,3.891,-0.4319,-245.1"
"2024-06-15 12:17:42.599,""2024-06-15 12:17:42.809"",47.668236,8.984736,295.82,0.02098127,295.82,-0.79,-0.36,15,0.5537,64,3.891,-0.4399,-245.1"
"2024-06-15 12:17:43.599,""2024-06-15 12:17:43.991"",47.668236,8.984736,295.82,0.02363123,295.82,-0.79,-0.37,15,0.5527,64,3.889,-0.4358,-245.1"
"2024-06-15 12:17:44.599,""2024-06-15 12:17:45.079"",47.668236,8.984736,295.82,0.02634474,295.82,-0.79,-0.4,15,0.5527,64,3.889,-0.4309,-245.1"
"2024-06-15 12:17:45.599,""2024-06-15 12:17:45.986"",47.668236,8.984736,295.82,0.01345849,295.82,-0.8,-0.38,15,0.5527,64,3.889,-0.4358,-245.1"
"2024-06-15 12:17:46.599,""2024-06-15 12:17:46.906"",47.668236,8.984735,295.82,0.02140683,295.82,-0.81,-0.36,15,0.5527,64,3.889,-0.4399,-245.1"
"2024-06-15 12:17:47.599,""2024-06-15 12:17:47.911"",47.668236,8.984736,295.82,0.03148516,295.82,-0.37,-2.91,16,0.5527,64,3.889,-0.4358,-244.1"
"2024-06-15 12:17:48.599,""2024-06-15 12:17:48.996"",47.668239,8.984735,289.28,0.1091112,290.3,-6.83,-1.41,16,0.5698,64,3.889,-0.4319,-244.1"
"2024-06-15 12:17:49.599,""2024-06-15 12:17:49.827"",47.668244,8.984731,293.15,0.590835,345.92,3.63,43.51,16,0.6216,64,3.889,-0.4258,-245.1"
"2024-06-15 12:17:50.599,""2024-06-15 12:17:50.894"",47.668246,8.984718,313.68,0.7484898,333.76,-1.15,65.07,16,0.6865,64,3.889,-0.4238,-245.1"
"2024-06-15 12:17:51.599,""2024-06-15 12:17:51.917"",47.668241,8.984719,255.66,1.005226,254.93,-20.27,-0.51,16,0.7349,64,3.889,-0.4199,-244.1"
"2024-06-15 12:17:52.599,""2024-06-15 12:17:53.133"",47.668241,8.984718,291.2,0.3745118,290.32,-5.28,-1.76,16,0.7285,64,3.889,-0.4238,-244.1"
"2024-06-15 12:17:53.599,""2024-06-15 12:17:54.212"",47.668241,8.984717,291.39,0.05728922,291.39,-5.01,-1.22,16,0.7178,64,3.889,-0.4189,-244.1"
"2024-06-15 12:17:54.599,""2024-06-15 12:17:55.278"",47.668241,8.984716,291.39,0.03101738,291.39,-5.08,-0.97,16,0.7065,64,3.887,-0.428,-244.1"
"2024-06-15 12:17:55.599,""2024-06-15 12:17:56.09"",47.668241,8.984715,291.39,0.0166033,291.39,-5.08,-0.86,16,0.6958,64,3.887,-0.428,-244.1"
