servertime;latitude;longitude;"""HDT - Heading True""";SOG in m/s;SOG in Knoten;"""COG - Course over Ground""";Heel;"""Trim Fore / Aft""";"""GPS Satellites""";"""GPS HAcc""";"""Battery Charge""";"""Battery 1 Voltage""";"""Battery 1 Current""";"""Battery 1 Temperature""";;;;;
"""2024-04-14 12:24:28.079""";47.659504;8.953238;336.05;5.5035;10.973979;1.33;85.12;22.06;16;0.6089;85;4.059;-0.344;-234.1;;;;;
"""2024-04-14 12:38:19.605""";47.669024;8.973295;333.12;6.101785;12.16695929;1.33;84.32;19.57;16;0.3589;82;4.043;-0.3428;-231.1;;;;;
"""2024-04-14 12:39:22.868""";47.669514;8.97485;332.88;5.846616;11.6581523;1.33;84.72;21.46;16;0.3428;82;4.043;-0.3459;-231.1;;;;;
"""2024-04-14 12:07:36.609""";47.665242;8.968909;327.42;3.001033;5.984059802;1.35;79.06;20.26;16;0.4849;89;4.094;-0.3569;-234.1;;;;;
"""2024-04-14 13:17:38.179""";47.665834;8.966239;335.71;6.064538;12.09268877;1.35;89.06;14.59;16;0.4058;76;3.994;-0.3879;-230.1;;;;;
"""2024-04-14 13:18:50.332""";47.667279;8.968395;336.01;6.303505;12.56918897;1.4;83.21;12.72;16;0.4709;76;3.994;-0.3499;-230.1;;;;;
"""2024-04-14 12:35:47.134""";47.666042;8.966972;333.95;5.211379;10.39148973;1.41;86.09;20.92;16;0.3069;83;4.047;-0.313;-231.1;;;;;
"""2024-04-14 13:37:49.089""";47.665578;8.969901;334.28;4.485197;8.943482818;1.42;84.81;13;16;0.4109;73;3.969;-0.4028;-231.1;;;;;
"""2024-04-14 13:18:44.066""";47.66694;8.968381;331.48;5.940832;11.84601901;1.48;84.23;14.72;16;0.4568;76;3.992;-0.3569;-230.1;;;;;
"""2024-04-14 13:18:46.073""";47.667051;8.968383;333.31;6.127896;12.21902462;1.51;83.53;13.87;16;0.4758;76;3.992;-0.3569;-230.1;;;;;
"""2024-04-14 13:53:13.141""";47.666108;8.962655;338.88;5.349021;10.66594787;1.51;87.9;9.66;15;0.6445;71;3.949;-0.3828;-231.1;;;;;
"""2024-04-14 13:57:27.44""";47.668965;8.970105;340.84;5.304756;10.57768346;1.51;85.08;11.78;16;0.6089;70;3.947;-0.3569;-230.1;;;;;
"""2024-04-14 12:33:19.589""";47.664504;8.963095;330.6;4.599156;9.170717064;1.52;86.3;22.15;16;0.3489;83;4.051;-0.3428;-232.1;;;;;
"""2024-04-14 13:53:11.129""";47.666012;8.962651;339.62;5.444806;10.85694316;1.52;86.57;9.49;15;0.646;71;3.949;-0.387;-231.1;;;;;
"""2024-04-14 12:25:37.092""";47.660632;8.955336;335.61;5.798997;11.56320002;1.53;89.43;22.26;16;0.6138;84;4.059;-0.3418;-233.1;;;;;
"""2024-04-14 11:09:14.052""";47.664343;8.976687;1.41;0.06927712;0.138138577;1.54;137.86;12.1;15;1.887;96;4.164;-0.3108;-239.1;;;;;
"""2024-04-14 12:33:30.118""";47.664371;8.965132;332.02;3.1362;6.2535828;1.54;88.4;21.16;16;0.3579;83;4.047;-0.3679;-232.1;;;;;
"""2024-04-14 13:54:14.162""";47.666965;8.964147;334.27;3.752864;7.483210816;1.54;84.63;10.43;15;0.5996;71;3.947;-0.3989;-231.1;;;;;
"""2024-04-14 13:53:09.162""";47.665914;8.962648;339.73;5.41589;10.79928466;1.56;87.46;7.99;15;0.646;71;3.949;-0.3838;-231.1;;;;;
"""2024-04-14 13:09:47.745""";47.659836;8.951326;331.57;6.230473;12.42356316;1.57;83.05;13.38;16;0.323;77;4.004;-0.3828;-232.1;;;;;
"""2024-04-14 12:34:37.08""";47.66526;8.966918;344.75;3.929224;7.834872656;1.58;78.4;18.05;16;0.335;83;4.047;-0.365;-232.1;;;;;
"""2024-04-14 13:37:55.148""";47.665776;8.969902;341.54;3.303994;6.588164036;1.6;90.5;6.64;16;0.4338;73;3.967;-0.3879;-232.1;;;;;
"""2024-04-14 12:38:19.598""";47.66794;8.973332;337.4;3.894928;7.766486432;1.63;87.81;25.23;16;0.3528;82;4.043;-0.3789;-231.1;;;;;
"""2024-04-14 12:07:36.67""";47.667524;8.970114;334.27;5.810791;11.58671725;1.64;87.29;22.63;16;0.6016;89;4.094;-0.366;-233.1;;;;;
"""2024-04-14 12:27:37.437""";47.661957;8.958928;329.6;3.156559;6.294178646;1.65;84.65;22.07;16;0.376;84;4.059;-0.3638;-233.1;;;;;
"""2024-04-14 13:57:27.436""";47.668318;8.969993;337.36;4.533804;9.040405176;1.65;78.17;7.48;16;0.6089;70;3.947;-0.366;-230.1;;;;;
"""2024-04-14 12:24:16.142""";47.658942;8.953168;335.35;3.43943;6.85822342;1.67;88.48;26.04;16;0.6006;85;4.062;-0.335;-234.1;;;;;
"""2024-04-14 12:25:28.121""";47.660161;8.955286;336.47;5.492914;10.95287052;1.67;88.34;24.01;16;0.5947;84;4.059;-0.3459;-233.1;;;;;
"""2024-04-14 13:36:56.161""";47.665029;8.968259;335.86;6.115099;12.19350741;1.68;85.61;11.27;16;0.4248;73;3.971;-0.3569;-232.1;;;;;
"""2024-04-14 13:53:08.108""";47.665866;8.962645;337.91;5.461493;10.89021704;1.7;88.61;9.55;15;0.646;71;3.949;-0.3799;-231.1;;;;;
"""2024-04-14 12:35:47.142""";47.667048;8.966983;332.41;5.314674;10.59745996;1.74;87.89;22.76;16;0.3459;83;4.047;-0.3669;-232.1;;;;;
"""2024-04-14 13:53:10.214""";47.665963;8.96265;338.7;5.445904;10.85913258;1.74;85.99;9.4;15;0.646;71;3.949;-0.386;-231.1;;;;;
"""2024-04-14 11:49:25.301""";47.662048;8.956218;330.71;6.182758;12.32841945;1.76;85.52;23.26;16;0.7046;90;4.109;-0.323;-237.1;;;;;
"""2024-04-14 12:27:36.25""";47.661928;8.958924;329.39;2.937908;5.858188552;1.82;82.95;20.81;16;0.3728;84;4.059;-0.355;-233.1;;;;;
"""2024-04-14 13:14:45.082""";47.662951;8.95979;333.73;4.4421;8.8575474;1.83;85.63;14.21;16;0.3518;77;4;-0.3579;-230.1;;;;;
"""2024-04-14 12:35:47.133""";47.665855;8.966962;335.64;4.945329;9.860986026;1.86;89.86;22.78;16;0.3059;83;4.047;-0.3259;-231.1;;;;;
"""2024-04-14 11:23:12.058""";47.664573;8.97765;308.41;0.7204283;1.43653403;1.88;80.74;15.51;14;0.792;94;4.145;-0.3088;-237.1;;;;;
"""2024-04-14 12:35:47.137""";47.666089;8.966975;335.18;5.197031;10.36287981;1.89;86.7;21.15;16;0.3079;83;4.047;-0.3098;-231.1;;;;;
"""2024-04-14 13:36:22.619""";47.66454;8.966311;337.8;6.088313;12.14009612;1.89;84.05;7.84;16;0.4519;73;3.973;-0.3198;-232.1;;;;;
"""2024-04-14 13:13:39.059""";47.662725;8.95827;337.28;4.273679;8.521715926;1.91;85.41;15.54;16;0.3838;77;4;-0.3499;-230.1;;;;;
"""2024-04-14 12:35:47.133""";47.665766;8.96696;332.82;4.864577;9.699966538;1.92;87.31;21.25;16;0.3059;83;4.047;-0.3369;-232.1;;;;;
"""2024-04-14 12:39:22.871""";47.669734;8.974867;335.53;6.122412;12.20808953;1.92;84.53;19.68;16;0.3389;82;4.043;-0.344;-231.1;;;;;
"""2024-04-14 12:40:28.422""";47.671012;8.977288;331.21;5.723639;11.41293617;1.92;91.55;22.7;15;0.3979;82;4.039;-0.3428;-231.1;;;;;
"""2024-04-14 13:14:46.164""";47.662991;8.959793;331.87;4.481986;8.937080084;1.92;87.2;14.36;16;0.3589;77;4;-0.3638;-230.1;;;;;
"""2024-04-14 11:24:13.096""";47.664828;8.977805;1.31;0.3931553;0.783951668;1.94;95.02;22.32;15;0.6909;94;4.145;-0.314;-236.1;;;;;
"""2024-04-14 12:38:19.6""";47.668482;8.973309;334.14;6.004056;11.97208766;1.94;83.92;21.31;16;0.3459;82;4.043;-0.3528;-231.1;;;;;
"""2024-04-14 13:17:24.124""";47.664352;8.964401;335.13;4.800765;9.57272541;1.94;87.65;14.38;16;0.3218;76;4;-0.2998;-230.1;;;;;
"""2024-04-14 13:14:53.076""";47.66331;8.959804;335.13;5.314564;10.59724062;1.96;86.66;14.89;16;0.3889;77;4;-0.377;-230.1;;;;;
"""2024-04-14 12:39:22.868""";47.669568;8.974853;333.77;5.959763;11.88376742;1.97;86.93;20.5;16;0.3418;82;4.043;-0.3428;-231.1;;;;;
"""2024-04-14 12:24:19.054""";47.659062;8.953172;336.06;4.569965;9.11251021;1.98;85.76;25.63;16;0.606;85;4.062;-0.3379;-234.1;;;;;
"""2024-04-14 12:35:47.132""";47.665635;8.966954;335.04;4.476129;8.925401226;1.98;85.86;21.28;16;0.3159;83;4.047;-0.3528;-231.1;;;;;
"""2024-04-14 12:25:39.081""";47.660739;8.955343;338.47;5.908406;11.78136156;1.99;88.24;23.16;16;0.6206;84;4.059;-0.3379;-233.1;;;;;
"""2024-04-14 12:07:36.67""";47.667419;8.970111;331.24;5.906656;11.77787206;2.05;84;22.72;16;0.5879;89;4.094;-0.366;-233.1;;;;;
"""2024-04-14 13:54:12.074""";47.666897;8.964143;332.57;2.986869;5.955816786;2.05;89.01;10.76;15;0.5996;71;3.947;-0.3889;-231.1;;;;;
"""2024-04-14 11:09:16.047""";47.664342;8.976687;2.18;0.06203336;0.12369452;2.07;138.34;12.23;16;1.865;96;4.164;-0.313;-239.1;;;;;
"""2024-04-14 13:18:54.141""";47.6675;8.968414;334.49;5.84906;11.66302564;2.08;83.56;9.4;16;0.469;76;3.992;-0.3479;-230.1;;;;;
"""2024-04-14 13:31:29.682""";47.664595;8.961239;338.09;5.065198;10.10000481;2.08;84.44;13.43;15;0.49;74;3.979;-0.3538;-231.1;;;;;
"""2024-04-14 12:35:47.139""";47.666408;8.967002;331.63;5.118593;10.20647444;2.1;89.74;22.09;16;0.3259;83;4.047;-0.3008;-232.1;;;;;
"""2024-04-14 12:27:36.217""";47.662384;8.95767;329.06;4.520132;9.013143208;2.15;85.06;21.89;16;0.356;84;4.059;-0.3279;-233.1;;;;;
"""2024-04-14 13:13:42.306""";47.662811;8.958277;333.46;4.735605;9.44279637;2.15;89.57;15.57;16;0.4038;77;4;-0.3789;-230.1;;;;;
"""2024-04-14 12:07:36.614""";47.666244;8.968712;332.08;6.110781;12.18489731;2.2;80.19;19.91;16;0.5815;89;4.094;-0.3569;-234.1;;;;;
"""2024-04-14 12:40:28.422""";47.670961;8.977283;330.74;5.693854;11.35354488;2.22;87.88;22.68;15;0.3899;82;4.039;-0.344;-231.1;;;;;
